Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,38.971,38.971,screen dark,5.6654480959999995
0,38.971,38.971,wifi running,0.08047511499999999
0,38.971,38.971,audio,6.438009199999999
0.0,149.13759199999913,149.13759199999913,core 0 cpu_idle start,1.194920214622393
149.13759199999913,156.1360629999981,6.998470999998972,core 0 cpu_idle,0.05607314934619175
156.1360629999981,156.13611500000115,5.200000305194408e-05,core 0 cpu_frequency,2.1476001260452906e-05
156.13611500000115,156.64311000000453,0.5069950000033714,core 0 cpu_idle,0.004062145339027012
156.64311000000453,156.64313300000504,2.300000051036477e-05,core 0 cpu_frequency,9.49900021078065e-06
156.64313300000504,156.85399600000528,0.21086300000024494,core 0 cpu_idle,0.0016894765286019622
156.85399600000528,156.85402800000156,3.199999628122896e-05,core 0 cpu_frequency,1.3215998464147561e-05
156.85402800000156,157.4818030000024,0.6277750000008382,core 0 cpu_idle,0.005029858855006715
157.4818030000024,157.4819620000053,0.00015900000289548188,core 0 cpu_frequency,6.566700119583402e-05
157.4819620000053,162.82703099999344,5.345068999988143,core 0 cpu_idle,0.042825761841704994
162.82703099999344,162.82716699999582,0.00013600000238511711,core 0 cpu_frequency,5.616800098505337e-05
162.82716699999582,163.56104899999627,0.7338820000004489,core 0 cpu_idle,0.005880009360403596
163.56104899999627,163.561103,5.400000372901559e-05,core 0 cpu_frequency,2.230200154008344e-05
163.561103,165.00425100000575,1.443148000005749,core 0 cpu_idle,0.011562790405646062
165.00425100000575,165.00435899999866,0.00010799999290611595,core 0 cpu_frequency,4.460399707022589e-05
165.00435899999866,168.8130189999938,3.808659999995143,core 0 cpu_idle,0.030515745651961083
168.8130189999938,168.8130220000021,3.000008291564882e-06,core 0 cpu_frequency,1.2390034244162962e-06
168.8130220000021,172.02897600000142,3.2159539999993285,core 0 cpu_idle,0.025766866638794617
172.02897600000142,172.02960199999507,0.0006259999936446548,core 0 cpu_frequency,0.00025853799737524244
0.0,148.54408500000136,148.54408500000136,core 1 cpu_idle start,1.1901649178370106
148.54408500000136,156.13607599999523,7.591990999993868,core 1 cpu_idle,0.060828550290150864
156.13607599999523,156.1361409999954,6.500000017695129e-05,core 1 cpu_frequency,2.6845000073080886e-05
156.1361409999954,156.643127000003,0.5069860000076005,core 1 cpu_idle,0.004062073229260896
156.643127000003,156.64322899999388,0.00010199999087490141,core 1 cpu_frequency,4.2125996231334285e-05
156.64322899999388,156.85401500000444,0.21078600001055747,core 1 cpu_idle,0.0016888595892845884
156.85401500000444,156.8543170000048,0.0003020000003743917,core 1 cpu_frequency,0.00012472600015462376
156.8543170000048,157.48181599999953,0.6274989999947138,core 1 cpu_idle,0.005027647487757646
157.48181599999953,157.484918999995,0.0031029999954625964,core 1 cpu_frequency,0.0012815389981260523
157.484918999995,162.8270429999975,5.342124000002514,core 1 cpu_idle,0.042802165912820135
162.8270429999975,162.82716000000073,0.00011700000322889537,core 1 cpu_frequency,4.832100133353379e-05
162.82716000000073,163.56106399999408,0.7339039999933448,core 1 cpu_idle,0.005880185628746676
163.56106399999408,163.56116500000644,0.0001010000123642385,core 1 cpu_frequency,4.17130051064305e-05
163.56116500000644,165.00426400000288,1.4430989999964368,core 1 cpu_idle,0.011562397807771449
165.00426400000288,165.0045439999958,0.00027999999292660505,core 1 cpu_frequency,0.00011563999707868789
165.0045439999958,168.81303200000548,3.8084880000096746,core 1 cpu_idle,0.03051436755367751
168.81303200000548,168.8132009999972,0.00016899999172892421,core 1 cpu_frequency,6.979699658404571e-05
168.8132009999972,172.02898899999855,3.2157880000013392,core 1 cpu_idle,0.025765536613610727
172.02898899999855,172.02964300000167,0.0006540000031236559,core 1 cpu_frequency,0.0002701020012900699
0.0,148.54837699999916,148.54837699999916,core 2 cpu_idle start,1.1901993061993932
148.54837699999916,156.1360810000042,7.587704000005033,core 2 cpu_idle,0.060794201988840314
156.1360810000042,156.1361990000005,0.00011799999629147351,core 2 cpu_frequency,4.873399846837856e-05
156.1361990000005,156.64313300000504,0.5069340000045486,core 2 cpu_idle,0.004061656594836443
156.64313300000504,156.64350099999865,0.0003679999936139211,core 2 cpu_frequency,0.00015198399736254944
156.64350099999865,156.85402100000647,0.21052000000781845,core 2 cpu_idle,0.0016867283440626427
156.85402100000647,156.8541680000053,0.00014699999883305281,core 2 cpu_frequency,6.071099951805082e-05
156.8541680000053,157.48182200000156,0.6276539999962552,core 2 cpu_idle,0.0050288893787699945
157.48182200000156,157.48375800000213,0.001936000000569038,core 2 cpu_frequency,0.0007995680002350128
157.48375800000213,162.82704800000647,5.343290000004345,core 2 cpu_idle,0.042811508138034804
162.82704800000647,162.8270990000019,5.099999543745071e-05,core 2 cpu_frequency,2.1062998115667142e-05
162.8270990000019,163.56106900000304,0.7339700000011362,core 2 cpu_idle,0.0058807144340091025
163.56106900000304,163.5611760000029,0.00010699999984353781,core 2 cpu_frequency,4.419099993538112e-05
163.5611760000029,165.0042689999973,1.4430929999944055,core 2 cpu_idle,0.011562349734555175
165.0042689999973,165.00509999999485,0.0008309999975608662,core 2 cpu_frequency,0.00034320299899263777
165.00509999999485,168.81303799999296,3.807937999998103,core 2 cpu_idle,0.030509960843584795
168.81303799999296,168.81327499999315,0.00023700000019744039,core 2 cpu_frequency,9.788100008154289e-05
168.81327499999315,172.02899399999296,3.215718999999808,core 2 cpu_idle,0.02576498377179846
172.02899399999296,172.02906099999382,6.70000008540228e-05,core 2 cpu_frequency,2.767100035271142e-05
