Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,37.562,37.562,screen dark,4.8894305152
0,37.562,37.562,wifi running,0.069452138
1.031,37.562,36.531,audio,5.40366552
0.0,31.270281999997678,31.270281999997678,core 0 cpu_idle start,0.2243367555018233
31.270281999997678,32.035110999997414,0.764828999999736,core 0 cpu_idle,0.005486975025478105
32.035110999997414,32.036244000002625,0.0011330000052112155,core 0 cpu_frequency,0.0004189834019271075
32.036244000002625,32.58423600000242,0.5479919999997946,core 0 cpu_idle,0.003931360367038526
32.58423600000242,32.58428699999786,5.099999543745071e-05,core 0 cpu_frequency,1.8859798312769274e-05
32.58428699999786,35.58736599999975,3.0030790000018897,core 0 cpu_idle,0.021544449115493552
35.58736599999975,35.58747299999959,0.00010699999984353781,core 0 cpu_frequency,3.956859994214028e-05
35.58747299999959,38.6243220000033,3.0368490000037127,core 0 cpu_idle,0.021786719147906634
38.6243220000033,38.62446199999977,0.00013999999646330252,core 0 cpu_frequency,3.727583905833308e-05
38.62446199999977,48.1696940000038,9.545232000004034,core 0 cpu_idle,0.06847863979586893
48.1696940000038,48.169810999999754,0.00011699999595293775,core 0 cpu_frequency,4.326659850339638e-05
48.169810999999754,49.16761399999814,0.9978029999983846,core 0 cpu_idle,0.0071583584583484105
49.16761399999814,49.16766500000085,5.100000271340832e-05,core 0 cpu_frequency,1.88598010034184e-05
49.16766500000085,50.17123400000128,1.0035690000004251,core 0 cpu_idle,0.007199724434283049
50.17123400000128,50.17136300000129,0.00012900000001536682,core 0 cpu_frequency,4.770420000568265e-05
50.17136300000129,59.021835999999894,8.850472999998601,core 0 cpu_idle,0.06349435535874996
59.021835999999894,59.02189499999804,5.8999998145736754e-05,core 0 cpu_frequency,2.1818199314293453e-05
59.02189499999804,62.44918599999801,3.4272909999999683,core 0 cpu_idle,0.02458779690891977
62.44918599999801,62.44924000000174,5.400000372901559e-05,core 0 cpu_frequency,1.9969201378989965e-05
0.0,31.26634799999738,31.26634799999738,core 1 cpu_idle start,0.22430853251374117
31.26634799999738,32.03512800000317,0.7687800000057905,core 1 cpu_idle,0.005515319973641541
32.03512800000317,32.03514200000063,1.3999997463542968e-05,core 1 cpu_frequency,5.1771990620181896e-06
32.03514200000063,32.584248999999545,0.5491069999989122,core 1 cpu_idle,0.003939359510832196
32.584248999999545,32.584325000003446,7.60000039008446e-05,core 1 cpu_frequency,2.8104801442532335e-05
32.584325000003446,35.58737999999721,3.003054999993765,core 1 cpu_idle,0.021544276936555265
35.58737999999721,35.58817699999781,0.0007970000006025657,core 1 cpu_frequency,0.0002947306002228288
35.58817699999781,38.62434300000314,3.0361660000053234,core 1 cpu_idle,0.02178181922395819
38.62434300000314,38.62458999999944,0.00024699999630684033,core 1 cpu_frequency,6.576523101667407e-05
38.62458999999944,48.16971000000194,9.545120000002498,core 1 cpu_idle,0.06847783629441792
48.16971000000194,48.16990900000383,0.0001990000018849969,core 1 cpu_frequency,7.359020069707185e-05
48.16990900000383,49.16762800000288,0.9977189999990514,core 1 cpu_idle,0.007157755832273194
49.16762800000288,49.16984200000297,0.0022140000000945292,core 1 cpu_frequency,0.000818737200034957
49.16984200000297,50.171252000000095,1.0014099999971222,core 1 cpu_idle,0.007184235509179354
50.171252000000095,50.171362000000954,0.00011000000085914508,core 1 cpu_frequency,4.067800031771185e-05
50.171362000000954,59.02185299999837,8.850490999997419,core 1 cpu_idle,0.06349448449290147
59.02185299999837,59.021929000002274,7.60000039008446e-05,core 1 cpu_frequency,2.8104801442532335e-05
59.021929000002274,62.449202000003424,3.4272730000011506,core 1 cpu_idle,0.02458766777476825
62.449202000003424,62.450942000003124,0.0017399999996996485,core 1 cpu_frequency,0.0006434519998889301
0.0,31.26650900000095,31.26650900000095,core 2 cpu_idle start,0.2243096875470868
31.26650900000095,32.035132999997586,0.7686239999966347,core 2 cpu_idle,0.005514200810855856
32.035132999997586,32.035203999999794,7.100000220816582e-05,core 2 cpu_frequency,2.6255800816579724e-05
32.035203999999794,32.58425400000124,0.5490500000014435,core 2 cpu_idle,0.003938950586010356
32.58425400000124,32.58454100000381,0.00028700000257231295,core 2 cpu_frequency,0.00010613260095124133
32.58454100000381,35.58738699999958,3.0028459999957704,core 2 cpu_idle,0.021542777545489653
35.58738699999958,35.58816300000035,0.0007760000007692724,core 2 cpu_frequency,0.00028696480028447694
35.58816300000035,38.62435199999891,3.036188999998558,core 2 cpu_idle,0.02178198422866965
38.62435199999891,38.62445799999841,0.00010599999950500205,core 2 cpu_frequency,2.8223135868203824e-05
38.62445799999841,48.1697159999967,9.545257999998285,core 2 cpu_idle,0.06847882632294769
48.1697159999967,48.16978299999755,6.70000008540228e-05,core 2 cpu_frequency,2.4776600315817633e-05
48.16978299999755,49.167632999997295,0.9978499999997439,core 2 cpu_idle,0.007158695641998162
49.167632999997295,49.16772700000001,9.40000027185306e-05,core 2 cpu_frequency,3.4761201005312616e-05
49.16772700000001,50.17125700000179,1.0035300000017742,core 2 cpu_idle,0.0071994446436127275
50.17125700000179,50.17153800000233,0.0002810000005410984,core 2 cpu_frequency,0.00010391380020009819
50.17153800000233,59.021858000000066,8.850319999997737,core 2 cpu_idle,0.06349325771838375
59.021858000000066,59.02219499999774,0.0003369999976712279,core 2 cpu_frequency,0.00012462259913882009
59.02219499999774,62.44920699999784,3.4270120000001043,core 2 cpu_idle,0.024585795329440746
62.44920699999784,62.449673000002804,0.00046600000496255234,core 2 cpu_frequency,0.00017232680183515187
