Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,38.555,38.555,screen dark,5.406829824
0,38.555,38.555,wifi running,0.07680155999999999
0,38.555,38.555,audio,6.1441248
0.0,104.16528000000108,104.16528000000108,core 0 cpu_idle start,0.8050892825088082
104.16528000000108,104.42691899999045,0.2616389999893727,core 0 cpu_idle,0.0020221973653578615
104.42691899999045,104.43032299999322,0.00340400000277441,core 0 cpu_frequency,0.001356153601105325
104.43032299999322,104.97734699999273,0.5470239999995101,core 0 cpu_idle,0.004227926615036214
104.97734699999273,104.97767900000326,0.00033200001053046435,core 0 cpu_frequency,0.000132268804195337
104.97767900000326,105.42671699999482,0.44903799999156035,core 0 cpu_idle,0.00347059674041477
105.42671699999482,105.42879900000116,0.0020820000063395128,core 0 cpu_frequency,0.0008294688025256619
105.42879900000116,106.04365500000131,0.6148560000001453,core 0 cpu_idle,0.004752197429761122
106.04365500000131,106.0440180000005,0.00036299999919719994,core 0 cpu_frequency,0.00014461919968016446
106.0440180000005,106.27007699999376,0.2260589999932563,core 0 cpu_idle,0.001747200968587878
106.27007699999376,106.27011699999275,3.9999998989515007e-05,core 0 cpu_frequency,1.593599959742278e-05
106.27011699999275,106.77356699999655,0.5034500000037951,core 0 cpu_idle,0.003891144912029332
106.77356699999655,106.77378200000385,0.00021500000730156898,core 0 cpu_frequency,8.565600290894509e-05
106.77378200000385,107.04481900000246,0.2710369999986142,core 0 cpu_idle,0.002094834131509289
107.04481900000246,107.04669899999863,0.001879999996162951,core 0 cpu_frequency,0.0007489919984713197
107.04669899999863,107.08528800000204,0.038589000003412366,core 0 cpu_idle,0.000298252837466374
107.08528800000204,107.08534299999883,5.499999679159373e-05,core 0 cpu_frequency,2.1911998721770944e-05
107.08534299999883,107.31486600000062,0.22952300000179093,core 0 cpu_idle,0.001773974086093842
107.31486600000062,107.31487400000333,8.000002708286047e-06,core 0 cpu_frequency,3.1872010789811615e-06
107.31487400000333,107.37840099999448,0.0635269999911543,core 0 cpu_idle,0.0004909976418516319
107.37840099999448,107.3784650000016,6.400000711437315e-05,core 0 cpu_frequency,2.5497602834366264e-05
107.3784650000016,107.62889500000165,0.2504300000000512,core 0 cpu_idle,0.0019355634528003957
107.62889500000165,107.62906599999405,0.00017099999240599573,core 0 cpu_frequency,6.81263969745487e-05
107.62906599999405,108.08263799999258,0.4535719999985304,core 0 cpu_idle,0.003505639845108641
108.08263799999258,108.08267299999716,3.500000457279384e-05,core 0 cpu_frequency,1.3944001821801067e-05
108.08267299999716,108.13682099999278,0.05414799999562092,core 0 cpu_idle,0.0004185077260461542
108.13682099999278,108.13702399999602,0.00020300000323913991,core 0 cpu_frequency,8.087520129047334e-05
108.13702399999602,108.42684299999382,0.2898189999978058,core 0 cpu_idle,0.002239999458223041
108.42684299999382,108.4271379999991,0.000295000005280599,core 0 cpu_frequency,0.00011752800210379066
108.4271379999991,108.91741799999727,0.4902799999981653,core 0 cpu_idle,0.003789354508785819
108.91741799999727,108.9174689999927,5.099999543745071e-05,core 0 cpu_frequency,2.031839818228036e-05
108.9174689999927,108.97744299999613,0.05997400000342168,core 0 cpu_idle,0.00046353664706644596
108.97744299999613,108.97749900000053,5.60000044060871e-05,core 0 cpu_frequency,2.2310401755385102e-05
108.97749900000053,109.16544499999145,0.18794599999091588,core 0 cpu_idle,0.001452627116089789
109.16544499999145,109.16735799999151,0.0019130000000586733,core 0 cpu_frequency,0.0007621392000233755
109.16735799999151,109.2211629999947,0.053805000003194436,core 0 cpu_idle,0.00041585669282468964
109.2211629999947,109.22121699999843,5.400000372901559e-05,core 0 cpu_frequency,2.151360148563981e-05
109.22121699999843,109.51512299999013,0.29390599999169353,core 0 cpu_idle,0.0022715877176957993
109.51512299999013,109.51691700000083,0.0017940000107046217,core 0 cpu_frequency,0.0007147296042647214
109.51691700000083,109.73163899999054,0.2147219999897061,core 0 cpu_idle,0.0016595777490404386
109.73163899999054,109.73224699999264,0.0006080000021029264,core 0 cpu_frequency,0.00024222720083780588
109.73224699999264,110.07219700000132,0.3399500000086846,core 0 cpu_idle,0.0026274599520671226
110.07219700000132,110.07231099999626,0.00011399999493733048,core 0 cpu_frequency,4.541759798303247e-05
110.07231099999626,110.29096600000048,0.2186550000042189,core 0 cpu_idle,0.0016899757488326075
110.29096600000048,110.29114200000186,0.00017600000137463212,core 0 cpu_frequency,7.011840054765344e-05
