Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,39.075,39.075,screen dark,5.105633280000001
0,39.075,39.075,wifi running,0.07252320000000001
0,39.075,39.075,audio,5.801856000000001
0.0,97.81332399999519,97.81332399999519,core 0 cpu_idle start,0.7043811338546854
97.81332399999519,101.10718399999678,3.2938600000015867,core 0 cpu_idle,0.023720008140811426
101.10718399999678,101.10828199999742,0.0010980000006384216,core 0 cpu_frequency,0.00040757760023698214
101.10828199999742,102.1241979999977,1.0159160000002885,core 0 cpu_idle,0.007315895572482078
102.1241979999977,102.12420299999576,4.999998054699972e-06,core 0 cpu_frequency,1.8559992779046298e-06
102.12420299999576,104.0440389999967,1.9198360000009416,core 0 cpu_idle,0.01382527659008678
104.0440389999967,104.04416299999502,0.00012399999832268804,core 0 cpu_frequency,4.602879937738181e-05
104.04416299999502,110.8687329999957,6.824570000000676,core 0 cpu_idle,0.04914563944960487
110.8687329999957,110.86913599999752,0.00040300000182469375,core 0 cpu_frequency,0.00014959360067732632
110.86913599999752,118.14054199999737,7.271405999999843,core 0 cpu_idle,0.052363430599678865
118.14054199999737,118.14107299999523,0.000530999997863546,core 0 cpu_frequency,0.0001971071992069483
118.14107299999523,124.28169899999557,6.1406260000003385,core 0 cpu_idle,0.04422036720128244
124.28169899999557,124.28177899999719,8.000000161700882e-05,core 0 cpu_frequency,2.9696000600233677e-05
124.28177899999719,127.04954999999609,2.767770999998902,core 0 cpu_idle,0.019931493946872093
127.04954999999609,127.05006199999843,0.0005120000023453031,core 0 cpu_frequency,0.00019005440087057653
0.0,97.81362199999785,97.81362199999785,core 1 cpu_idle start,0.7043832798361445
97.81362199999785,101.10720099999526,3.2935789999974077,core 1 cpu_idle,0.02371798458110133
101.10720099999526,101.10726099999738,6.000000212225132e-05,core 1 cpu_frequency,2.2272000787779692e-05
101.10726099999738,102.12421399999585,1.0169529999984661,core 1 cpu_idle,0.0073233632998289545
102.12421399999585,102.12422799999695,1.4000001101521775e-05,core 1 cpu_frequency,5.196800408884883e-06
102.12422799999695,104.04405399999814,1.9198260000011942,core 1 cpu_idle,0.0138252045772886
104.04405399999814,104.04412799999773,7.399999958579428e-05,core 1 cpu_frequency,2.746879984624684e-05
104.04412799999773,110.86874799999714,6.824619999999413,core 1 cpu_idle,0.04914599951359577
110.86874799999714,110.86891499999547,0.00016699999832781032,core 1 cpu_frequency,6.199039937928319e-05
110.86891499999547,118.14055699999517,7.2716419999997015,core 1 cpu_idle,0.05236513010175785
118.14055699999517,118.14075799999773,0.0002010000025620684,core 1 cpu_frequency,7.461120095103979e-05
118.14075799999773,124.281710999996,6.140952999998262,core 1 cpu_idle,0.044222722019827486
124.281710999996,124.2828789999985,0.0011680000025080517,core 1 cpu_frequency,0.00043356160093098884
124.2828789999985,127.0495669999982,2.7666879999997036,core 1 cpu_idle,0.019923694960637867
127.0495669999982,127.05088899999828,0.001322000000072876,core 1 cpu_frequency,0.0004907264000270516
0.0,97.8147439999957,97.8147439999957,core 2 cpu_idle start,0.704391359672289
97.8147439999957,101.10720699999729,3.2924630000015895,core 2 cpu_idle,0.023709947952651446
101.10720699999729,101.10726199999772,5.500000042957254e-05,core 2 cpu_frequency,2.0416000159457326e-05
101.10726199999772,102.12421999999788,1.0169580000001588,core 2 cpu_idle,0.007323399306241143
102.12421999999788,102.12427799999568,5.7999997807201e-05,core 2 cpu_frequency,2.152959918603301e-05
102.12427799999568,104.0440589999962,1.919781000000512,core 2 cpu_idle,0.013824880519683686
104.0440589999962,104.04475299999831,0.0006940000021131709,core 2 cpu_frequency,0.00025761280078440905
104.04475299999831,110.86875399999553,6.824000999997224,core 2 cpu_idle,0.04914154192126001
110.86875399999553,110.86878299999807,2.9000002541579306e-05,core 2 cpu_frequency,1.0764800943434239e-05
110.86878299999807,118.14056199999686,7.271778999998787,core 2 cpu_idle,0.05236611667711127
118.14056199999686,118.14064399999552,8.199999865610152e-05,core 2 cpu_frequency,3.043839950114489e-05
118.14064399999552,124.28171599999769,6.141072000002168,core 2 cpu_idle,0.04422357897217562
124.28171599999769,124.28204999999798,0.00033400000029359944,core 2 cpu_frequency,0.00012398080010898413
124.28204999999798,127.0495729999966,2.7675229999986186,core 2 cpu_idle,0.019929708029430053
127.0495729999966,127.05007199999818,0.0004990000015823171,core 2 cpu_frequency,0.0001852288005873561
0.0,101.10721099999864,101.10721099999864,core 3 cpu_idle start,0.7281013364300702
101.10721099999864,104.80225799999607,3.6950469999974302,core 3 cpu_frequency,1.3716014463990462
104.80225799999607,110.86875799999689,6.066500000000815,core 3 cpu_idle,0.04368656512000587
110.86875799999689,110.86876899999697,1.1000000085914508e-05,core 3 cpu_frequency,4.083200031891466e-06
110.86876899999697,118.14056699999855,7.271798000001581,core 3 cpu_idle,0.05236625350145139
118.14056699999855,118.14064399999552,7.699999696342275e-05,core 3 cpu_frequency,2.8582398872822526e-05
118.14064399999552,124.28172099999574,6.141077000000223,core 3 cpu_idle,0.04422361497856161
124.28172099999574,124.2817819999982,6.100000246078707e-05,core 3 cpu_frequency,2.2643200913444163e-05
124.2817819999982,127.04957799999829,2.7677960000000894,core 3 cpu_idle,0.019931673978880644
127.04957799999829,127.05041099999653,0.0008329999982379377,core 3 cpu_frequency,0.0003092095993459225
0.0,97.81664499999533,97.81664499999533,core 4 cpu_idle start,0.7044050493055664
97.81664499999533,101.1072159999967,3.290571000001364,core 4 cpu_idle,0.023696323130889825
